epoch,train_loss,val_loss,lr,weight_decay
1,0.26816379615045977,0.2939176230425281,2e-05,0.01
2,0.26205599687270187,0.29802531759049017,1e-05,0.015
3,0.2519955112809613,0.29467368800459165,5e-06,0.0225
4,0.24524237020175493,0.2933623786592348,5e-06,0.0225
5,0.24234739281446122,0.2953825345141934,2.5e-06,0.03375
6,0.23872177529152158,0.2963258362012347,1.25e-06,0.050625
7,0.23628134620744262,0.30023804882347777,6.25e-07,0.0759375
8,0.23496470381711723,0.2990176079105344,3.125e-07,0.11390625000000001
9,0.2341886824433931,0.2996105811594949,1.5625e-07,0.17085937500000004
10,0.23370835711409488,0.3000143099491569,7.8125e-08,0.25628906250000005
